                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.13268,                0.13614,               0.022728,               0.029494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.13038,                0.10905,               0.016826,               0.026935,                 0.0973,                 0.0003,                 0.0003
                      1,                 0.1325,                0.11434,                0.02271,               0.028968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.12809,               0.084941,               0.016821,               0.026486,               0.093697,             0.00069653,             0.00069653
                      2,                0.12818,               0.084911,               0.023926,               0.028956,             0.00057803,                   0.08,             0.00037335,             0.00010764,             0.00019268,               0.026667,             0.00010359,             4.1757e-05,                0.12276,               0.058168,               0.017031,               0.024695,               0.090089,              0.0010891,              0.0010891
                      3,                0.12273,               0.060302,               0.023856,               0.025181,             0.00081367,                   0.12,              0.0010892,             0.00035211,             0.00099449,                0.14667,             0.00078099,             0.00016876,                 0.1173,               0.042088,                0.01685,               0.022833,               0.086478,              0.0014777,              0.0014777
                      4,                0.11701,               0.050535,               0.024169,               0.023199,              0.0014958,                0.22667,              0.0029793,             0.00047812,              0.0016718,                0.25333,              0.0035495,             0.00093511,                0.11406,               0.034426,               0.016663,               0.021492,               0.082862,              0.0018624,              0.0018624
                      5,                0.11804,                0.04432,               0.024078,               0.021066,                0.00162,                   0.28,              0.0091329,              0.0020454,                0.00108,                0.18667,              0.0037476,              0.0011985,                  0.112,               0.033865,               0.015863,               0.019191,               0.079243,              0.0022431,              0.0022431
                      6,                0.11214,               0.039839,               0.023482,               0.017929,              0.0012013,                   0.24,              0.0069963,              0.0010509,              0.0010011,                    0.2,               0.001152,             0.00033371,                0.11132,               0.033469,               0.015331,               0.016881,                0.07562,              0.0026198,              0.0026198
                      7,                0.10637,               0.034329,               0.025049,                0.01419,              0.0012146,                0.26667,              0.0016088,             0.00032092,             0.00091091,                    0.2,              0.0017153,             0.00053929,                0.11103,               0.034068,                0.01558,               0.013989,               0.071993,              0.0029926,              0.0029926
                      8,                0.10359,               0.038012,               0.025733,               0.010836,              0.0017471,                    0.4,              0.0069491,               0.001407,              0.0012812,                0.29333,              0.0045465,              0.0011498,                0.10333,               0.031722,               0.016006,               0.011278,               0.068361,              0.0033614,              0.0033614
                      9,                0.10129,               0.033552,               0.024214,              0.0088131,              0.0030917,                0.34667,              0.0082691,              0.0016927,               0.002735,                0.30667,              0.0054004,               0.001336,                0.10286,               0.029096,               0.015691,              0.0080536,               0.064726,              0.0037263,              0.0037263
                     10,                0.10083,               0.031331,               0.023368,              0.0068999,               0.016795,               0.093333,              0.0064934,              0.0011127,               0.065724,                0.17333,               0.047439,                0.01311,                0.10631,               0.030036,               0.015065,              0.0067642,               0.061087,              0.0040871,              0.0040871
                     11,                0.10219,               0.029698,               0.022488,              0.0049957,              0.0021516,                   0.52,               0.010553,              0.0022272,              0.0039881,                0.34667,                0.01481,              0.0045523,                0.10869,               0.030093,               0.014091,              0.0052402,               0.057444,              0.0044441,              0.0044441
                     12,                0.10004,               0.030641,                0.02036,              0.0048004,              0.0017914,                   0.44,              0.0033483,             0.00075245,              0.0015836,                0.37333,              0.0068727,              0.0021485,                0.10491,               0.030575,               0.014254,              0.0052082,               0.053797,              0.0047971,              0.0047971
                     13,               0.096608,               0.027755,               0.020597,              0.0043911,               0.023774,                0.29333,               0.020172,              0.0041351,               0.022693,                   0.28,               0.027035,              0.0082719,                0.10201,               0.025838,               0.014175,              0.0040134,               0.050146,              0.0051461,              0.0051461
                     14,               0.093867,               0.031529,               0.022313,              0.0040184,              0.0020807,                0.50667,              0.0024089,             0.00059357,               0.002026,                0.49333,              0.0027597,             0.00077123,                0.12026,               0.024758,               0.011662,               0.003344,               0.046491,              0.0054911,              0.0054911
                     15,                0.10321,               0.037223,                0.02336,              0.0036262,               0.021853,                0.49333,               0.064371,               0.021228,               0.016537,                0.37333,               0.049752,               0.011486,               0.090717,               0.026673,                0.01438,              0.0041462,               0.042832,              0.0058322,              0.0058322
                     16,               0.090661,               0.034365,               0.022358,               0.003397,               0.016931,                0.37333,               0.030151,              0.0072419,               0.013025,                   0.32,               0.015871,              0.0044627,               0.099717,               0.022711,                 0.0133,               0.003055,               0.039169,              0.0061694,              0.0061694
                     17,               0.094425,               0.026328,                0.01926,              0.0031326,              0.0063186,                0.49333,               0.012344,              0.0027678,               0.019986,                   0.36,               0.015488,              0.0034145,                0.10133,               0.021867,               0.012248,              0.0028015,               0.035503,              0.0065025,              0.0065025
                     18,                0.09676,                0.02408,                0.01888,              0.0035941,              0.0080577,                   0.48,               0.013193,              0.0030394,              0.0052507,                0.57333,               0.024505,              0.0056529,                0.10354,               0.020177,               0.011699,              0.0024284,               0.031832,              0.0068318,              0.0068318
                     19,               0.089808,               0.027407,               0.018627,              0.0043941,               0.024249,                    0.4,               0.037724,              0.0098518,               0.089908,                0.22667,               0.064867,               0.014755,               0.094938,               0.020859,               0.011641,              0.0024553,               0.028157,               0.007157,               0.007157
                     20,               0.088139,               0.023874,               0.018478,               0.004587,                0.10999,               0.066667,               0.042914,               0.011769,                0.13407,               0.093333,               0.050381,               0.012829,                0.10304,               0.026102,              0.0099583,              0.0024105,               0.024478,              0.0074783,              0.0074783
                     21,               0.092361,               0.028116,               0.018092,              0.0040163,               0.097568,               0.066667,               0.033825,              0.0090673,                0.30473,               0.093333,               0.079065,               0.020536,               0.099053,               0.024257,              0.0097418,              0.0029903,               0.020796,              0.0077956,              0.0077956
                     22,               0.090272,               0.022912,               0.017557,              0.0039415,              0.0033137,                0.58667,              0.0083098,              0.0022695,              0.0027112,                   0.48,               0.006391,              0.0016015,                0.11034,               0.025409,              0.0083685,              0.0042788,               0.017109,               0.008109,               0.008109
                     23,               0.093831,               0.023554,               0.016194,               0.004198,               0.038118,                0.45333,               0.063122,               0.014167,               0.031392,                0.37333,               0.049133,               0.010998,                0.09767,               0.025431,              0.0096045,              0.0041943,               0.013418,              0.0084184,              0.0084184
                     24,               0.080821,               0.025069,               0.016953,               0.004336,               0.089654,                0.10667,               0.042842,               0.017122,                0.11207,                0.13333,               0.045308,              0.0071689,                0.10359,               0.029695,              0.0083218,              0.0054909,              0.0097239,              0.0087239,              0.0087239
                     25,               0.086304,               0.028756,               0.018003,              0.0038524,               0.037956,                    0.4,               0.035556,              0.0084835,               0.011933,                0.46667,               0.033753,               0.007062,               0.098085,               0.030405,              0.0092573,              0.0023857,              0.0087625,              0.0087625,              0.0087625
                     26,               0.085859,               0.027079,               0.016354,              0.0038605,               0.056284,                0.37333,               0.066211,               0.015292,               0.050253,                0.33333,               0.075472,               0.017464,               0.096347,               0.040064,              0.0093479,              0.0022547,              0.0087625,              0.0087625,              0.0087625
                     27,               0.079137,               0.024786,               0.015063,              0.0033684,              0.0097738,                0.53333,               0.095399,               0.025195,              0.0087964,                   0.48,                0.05909,                0.01638,               0.092236,               0.033103,              0.0094652,              0.0022827,               0.008713,               0.008713,               0.008713
                     28,               0.075747,               0.026075,               0.020221,              0.0031458,               0.064521,                0.17333,               0.049631,               0.018231,                0.11415,                0.30667,               0.081368,               0.021576,               0.091915,               0.023289,               0.009573,              0.0020078,              0.0086635,              0.0086635,              0.0086635
                     29,               0.085507,               0.024329,               0.016791,              0.0037401,                0.26574,               0.043638,               0.067645,               0.017668,                0.26574,               0.043638,               0.080929,                0.02041,                0.09077,               0.028112,               0.011021,              0.0021591,               0.008614,               0.008614,               0.008614
                     30,               0.075103,               0.020872,               0.017019,              0.0033298,                0.22608,               0.081853,                0.10799,               0.034285,                0.18923,               0.068519,               0.094227,               0.025644,               0.090658,                0.02227,              0.0093555,              0.0021496,              0.0085645,              0.0085645,              0.0085645
                     31,               0.078594,               0.021951,               0.019685,              0.0028996,                0.29903,                0.10667,                0.12622,               0.030024,                0.31171,                0.10667,                0.11424,               0.030414,               0.086011,               0.021091,              0.0094929,               0.001852,               0.008515,               0.008515,               0.008515
                     32,               0.074733,               0.022579,               0.019375,              0.0031063,                0.35097,                   0.16,                0.16343,               0.043467,                 0.3035,                0.14667,                0.13377,               0.032545,               0.080683,               0.019705,              0.0097504,              0.0018188,              0.0084655,              0.0084655,              0.0084655
                     33,                0.06923,               0.018797,               0.014965,              0.0029526,                0.26912,                   0.16,                0.14396,               0.051464,                0.33712,                0.13333,                0.15102,               0.047218,               0.073239,                0.01802,               0.010292,              0.0014696,               0.008416,               0.008416,               0.008416
                     34,               0.067152,               0.020826,               0.014322,              0.0029701,                0.21945,                   0.16,                0.13373,               0.047993,                0.19856,                   0.16,                0.11767,                0.03108,               0.078502,               0.019352,              0.0097036,              0.0014105,              0.0083665,              0.0083665,              0.0083665
                     35,               0.065614,               0.025524,               0.020313,              0.0026522,                0.26121,                0.21333,                0.17888,               0.063444,                0.26457,                0.18667,                0.15828,               0.051953,               0.079354,               0.021932,               0.010323,              0.0013745,               0.008317,               0.008317,               0.008317
                     36,               0.077283,               0.023454,               0.015712,              0.0026944,                0.28597,                   0.32,                0.19413,               0.069882,                0.25023,                   0.28,                0.17863,                 0.0583,               0.064173,               0.016853,               0.011561,              0.0012702,              0.0082675,              0.0082675,              0.0082675
                     37,               0.061489,               0.023063,                0.01844,              0.0025461,                0.12961,                0.17333,               0.080149,               0.027014,                0.20222,                0.13333,               0.088537,               0.026649,               0.089454,               0.017513,              0.0093431,              0.0013254,               0.008218,               0.008218,               0.008218
                     38,               0.077137,               0.017919,                 0.0156,              0.0024205,                0.26191,                   0.24,                0.13579,               0.045367,                0.22824,                0.18667,                0.14169,               0.050481,               0.071503,               0.017901,               0.010698,              0.0014093,              0.0081685,              0.0081685,              0.0081685
                     39,               0.067428,               0.022813,               0.017006,              0.0024848,               0.065274,                   0.24,               0.073335,               0.029111,                0.19986,               0.066667,               0.064196,               0.020462,               0.072161,               0.018152,               0.010605,              0.0014323,               0.008119,               0.008119,               0.008119
                     40,               0.067712,               0.024646,               0.016947,              0.0024823,                0.23962,                0.32777,                0.18159,               0.066907,                0.24242,                0.29333,                0.18143,                0.06534,               0.061096,               0.015693,               0.011078,              0.0012953,              0.0080695,              0.0080695,              0.0080695
                     41,               0.059356,               0.020524,               0.016228,              0.0023159,                0.17662,                0.22667,                0.15747,               0.058611,                0.21505,                    0.2,                0.12331,               0.033549,               0.069246,               0.015268,               0.010398,              0.0012222,                0.00802,                0.00802,                0.00802
                     42,               0.072323,                0.01802,               0.011791,                 0.0023,                 0.2704,                0.34667,                 0.2116,               0.074875,                 0.2999,                0.34667,                0.20131,               0.069912,               0.058599,               0.016301,               0.011031,              0.0012174,              0.0079705,              0.0079705,              0.0079705
                     43,               0.057898,               0.022555,               0.020599,              0.0021366,                0.20872,                0.29333,                0.16197,               0.056054,                0.18706,                    0.2,                0.11059,               0.027357,               0.071029,               0.020571,               0.010071,              0.0012611,               0.007921,               0.007921,               0.007921
                     44,               0.066008,               0.024898,                0.01609,              0.0021344,                0.34746,                0.41333,                0.25363,                0.10214,                0.32078,                0.37333,                0.21562,               0.081356,               0.059186,                0.01623,               0.010934,              0.0012648,              0.0078715,              0.0078715,              0.0078715
                     45,               0.061373,               0.021845,               0.016641,              0.0021288,                0.25729,                0.26667,                0.17603,               0.067795,                0.24443,                0.25333,                0.15389,               0.037055,               0.071948,               0.015083,              0.0094051,              0.0012458,               0.007822,               0.007822,               0.007822
                     46,                0.06677,               0.022334,               0.016262,              0.0021421,                0.41463,                0.34667,                0.28502,                0.10795,                0.38087,                0.31989,                0.23042,               0.071322,               0.056542,               0.015488,               0.010062,              0.0012556,              0.0077725,              0.0077725,              0.0077725
                     47,               0.062413,               0.019072,               0.016147,              0.0019869,                0.15879,                0.34667,                0.16068,               0.054627,                0.13447,                   0.32,               0.098729,               0.023657,               0.071018,               0.016885,              0.0091143,              0.0012437,               0.007723,               0.007723,               0.007723
                     48,               0.062728,               0.020735,               0.017423,              0.0020198,                0.33774,                0.37333,                 0.2954,               0.094398,                0.32003,                0.35145,                0.22754,               0.080464,               0.059198,               0.014624,               0.010115,              0.0010952,              0.0076735,              0.0076735,              0.0076735
                     49,               0.058805,               0.024017,               0.019911,              0.0019257,                0.35442,                0.30667,                0.26141,                0.11693,                0.27686,                0.23487,                0.15407,                0.05172,               0.063692,                0.01635,              0.0092058,                0.00121,               0.007624,               0.007624,               0.007624
                     50,               0.062987,               0.025373,               0.016434,              0.0020927,                0.37509,                0.42667,                0.30034,               0.099807,                0.38988,                0.32382,                0.24712,               0.073867,               0.056723,               0.014812,              0.0094719,              0.0011956,              0.0075745,              0.0075745,              0.0075745
                     51,               0.054195,               0.019318,               0.015487,              0.0018867,                  0.254,                0.33333,                0.20679,               0.065097,                0.27872,                0.26667,                0.16357,               0.038678,               0.066469,               0.016224,              0.0089054,              0.0012822,               0.007525,               0.007525,               0.007525
                     52,               0.059418,               0.016382,               0.012202,              0.0019824,                0.42144,                0.45333,                 0.2898,               0.095508,                0.38014,                0.34667,                0.27601,               0.078922,               0.063782,               0.015319,              0.0087013,              0.0011908,              0.0074755,              0.0074755,              0.0074755
                     53,               0.059775,               0.016457,               0.015014,               0.001778,                0.32892,                   0.44,                0.25109,                0.11784,                0.28526,                0.38667,                0.23137,                0.07308,                0.06595,               0.015313,              0.0083656,              0.0014372,               0.007426,               0.007426,               0.007426
                     54,               0.059265,               0.019247,               0.013611,              0.0017093,                0.37635,                0.46667,                0.30988,                0.12873,                 0.3324,                0.46667,                0.27424,               0.070556,               0.054969,               0.014669,              0.0090113,              0.0013929,              0.0073765,              0.0073765,              0.0073765
                     55,               0.053472,               0.017036,               0.012117,               0.001643,                0.30748,                0.37333,                 0.2335,               0.091847,                0.23803,                   0.36,                0.17084,               0.046703,               0.066974,                0.01746,               0.008584,              0.0036963,               0.007327,               0.007327,               0.007327
                     56,               0.057687,               0.018733,               0.013122,               0.001902,                 0.3246,                   0.52,                  0.262,                0.11426,                0.29573,                0.42667,                0.21955,               0.069912,               0.055194,               0.015469,              0.0090876,              0.0015576,              0.0072775,              0.0072775,              0.0072775
                     57,               0.053549,                0.02036,               0.014525,              0.0016493,                0.30852,                   0.36,                0.21428,               0.094003,                0.30524,                 0.3398,                0.20385,               0.062286,               0.063416,               0.017794,              0.0087891,                0.00184,               0.007228,               0.007228,               0.007228
                     58,               0.052016,               0.014627,               0.011331,              0.0019672,                 0.4391,                0.39668,                0.27768,                 0.1185,                0.37597,                0.33743,                0.22984,               0.081106,               0.057493,               0.016142,               0.009347,              0.0013754,              0.0071785,              0.0071785,              0.0071785
                     59,               0.051237,               0.015782,               0.012718,              0.0016463,                0.31088,                0.34667,                0.20594,               0.090111,                0.29831,                0.33333,                0.19572,               0.052031,               0.065295,               0.015883,              0.0088787,              0.0013985,               0.007129,               0.007129,               0.007129
                     60,               0.054761,               0.017544,               0.012319,               0.001609,                0.48233,                   0.44,                 0.3466,                0.15793,                0.46456,                0.42667,                0.32714,                0.10135,               0.053025,               0.014224,              0.0090694,              0.0013428,              0.0070795,              0.0070795,              0.0070795
